Questpack,Rotation,Name,Location,Questgiver,Time in seconds A,Time in seconds B,Time Assessment,Mob Type/s,Mobs to Kill,Objectives To Click,,Details,Advice,Bugs,Other,Twist,Delving Enabled,Difficulty (Duo T6),Difficulty (Solo T6),,Difficulty (Duo T12),Difficulty (Solo T12)
Corsairs of Umbar,,,,,,,,,,,,,,,,,,,,,,
Corsairs of Umbar,Always available,Mission: A Cut Above,The Bloody Eagle Tavern,Malthak,125,150,,Corsairs,,,,"Kill 8 deck-hands, 10 look-outs, 3 brutes, then boss","The path through the Corsair camp is mostly West and South, and slightly up the hill.
There are stealthed Corsair Cutthroats along the path.
Group mobs and AoE them down. 
Ghasaphâr spawns at [20.2S, 110.2W]
The scout will appear at roughly the same location.",,,,yes,,Easy-Medium,,,
Corsairs of Umbar,Always available,Mission: Protecting the Sea Lanes,The Bloody Eagle Tavern,Malthak,110,180,,Corsairs,,,,"Heal X crewmates, kill X corsairs",Group mobs and AoE down.,,,,no,- No Delving -,,,,
Corsairs of Umbar,Always available,Mission: Securing Salvage,The Bloody Eagle Tavern,Malthak,,120,,Corsairs,,,,"Kill corsairs, collect boxes.","Run to the end, AoE mobs, collect boxes on way back to starting point, kill boss.",,,,yes,,Easy-Medium,,,
Corsairs of Umbar,Always available,Mission: The Beast of Belfalas,The Bloody Eagle Tavern,Malthak,50,90,,Rockworms,,,,Kill boss,"Ignore mobs, go straight to boss. Find nearby scout and leave immediately once boss is dead.",,,,yes,,Easy,,,
Corsairs of Umbar,Always available,Mission: A Taste for Crab,The Bloody Eagle Tavern,Malthak,110,240,,Crabs,,,,"Kill crabs, click nets, kill boss",Group mobs and AoE down.,,,,yes,,Easy,,,
Corsairs of Umbar,Always available,Mission: A Life's Work,The Bloody Eagle Tavern,Malthak,225,270,,"Gredbyg, Rockworms",,,,"Collect 10 research papers,destroy 8 gredbyg nests, kill boss",Ignore initial rockworms. Group gredbyg and click things. You can outrun many gredbyg to get clickables faster. Some gredbyg don't aggro.,,,,yes,,Easy,,,
Corsairs of Umbar,Always available,Mission: A Dark Treasure,The Bloody Eagle Tavern,Deshra,110,120,,Corsairs,,,,"Kill 12 corsairs, collect treasure, kill boss",Group mobs and AoE down. There are more mobs than needed. Ignore mobs on lowest beach. Head south. Boss counts as one of the 12. Three spirits spawn when you approach treasure.,,,,yes,,Easy,,,
Corsairs of Umbar,Always available,Mission: Ship of Wraiths,The Bloody Eagle Tavern,Deshra,170,150,,Undead,,,,"Kill 16 undead corsairs, free 4 captives, kill boss","Group mobs and AoE down. Boss is near ship where you free woman. Head south-west, towards prow of ship.",,,,yes,,Easy-Medium,,,
Corsairs of Umbar,Always available,Mission: An Infestation of Crabs,The Bloody Eagle Tavern,Deshra,180,270,,Crabs,,,,"Kill 18 crabs, repair 10 leaks, then kill 2 great crabs",Group mobs and AoE down.,Buggy floors. Mobs may drop through. You may bounce around a bit.,Bugs make this one to avoid.,,no,- No Delving -,,,,
Corsairs of Umbar,Always available,Mission: The Ill-fated Cave,The Bloody Eagle Tavern,Deshra,200,240,,Gredbyg,,,,"Clear 12 rockfalls, free 8 trapped dwarves",Non-combat. Ignore gredbyg. Use delete key to find next clickables.,,,,no,- No Delving -,,,,
Corsairs of Umbar,Always available,Mission: A Natural Disaster,The Bloody Eagle Tavern,Deshra,130,330,,Huorns,,,,"Kill 8 huorns and 6 wildwoods, then boss",Group mobs and AoE down. It can be easy to miss a mob at start and have to backtrack. Boss spawns at back. Scout spawns closer to entrance.,,"The most tedious new mission, too similar to daily.",,yes,,Easy-Medium,,,
Wildwood,,,,,,,,,,,,,,,,,,,,,,
Wildwood,Always available,Mission: Svalfang's Stand,Trestlebridge,,50,20,,,5,0,,,"Run straight, then left, up to top of hill and kill Svalfang and adds.",,,Twist: Crushing,no,- No Delving -,,,,
Wildwood,Always available,Mission: A Looming Collapse,Trestlebridge,,280,300,,,20,20,,,"Must collect 10 bombs and 10 crates (While not required, you're forced to kill almost everything in the dungeon to do this.)",,,Twist: Sacrificial,no,- No Delving -,,,,
Wildwood,Always available,Mission: The Trestlebridge Ambush,Trestlebridge,,300,290,,,40,4,,,"Aggressive Skirmish-like mission, where you can pull lots of mobs and AoE. Must reclaim several locations.",,,Twist: Inspiring Presence,no,- No Delving -,,,,
Wildwood,Always available,Mission: Assault on Trestlebridge,Trestlebridge,,170,,,,15,4,,,,,,Twist: Burning Shield,no,- No Delving -,,,,
Wildwood,Always available,Mission: The Menace of Sutwarden,Trestlebridge,,260,255,,,25,8,,,"Kill 15 mobs, burn 8 banners. Best to run through to pick up all mobs and AoE down, then burn banners after. Once done, face a wave of mobs at entrance and down below. Then return to summong horn to end.",,,Twist: Surprise Attack,no,- No Delving -,,,,
Wildwood,Always available,Mission: Locked Down,Trestlebridge,,180,300,,,15,10,,,Kill mobs and collect crates and keys to unlock doors.,,,Twist: Gated,no,- No Delving -,,,,
Wildwood,Always available,Mission: Trouble on the Brandywine,Trestlebridge,,500,510,,,40,0,,,"Timed defensive mission, where you have to wait between waves. No way to speed this up.",,,Twist: Raging,no,- No Delving -,,,,
Wildwood,Always available,Mission: Invaders on the Delf,Trestlebridge,,400,495,,,30,20,,,"Two locations, kill mobs and collect things, then return to middle.",,,Twist: Traps,no,- No Delving -,,,,
Wildwood,Always available,Mission: Attack on Cotfast,Trestlebridge,,240,,,,30,20,,,,,,Twist: Reinforcements,no,- No Delving -,,,,
Wildwood,Always available,Mission: Brooding in the Depths,Trestlebridge,,260,,,,15,10,,,,,,Twist: Shared Corruption,no,- No Delving -,,,,
Before The Shadow,,,,,,,,,,,,,,,,,,,,,,
Before The Shadow,"1, 6, 8",Mission: Caranost Courtyard,Gerwyn Convoy (Andrath),,50,,Quick,Orcs,,,,,"Kill all orcs in courtyard. 3 pulls of 3 mobs, plus pathers. Difficulty depends on pull.",,,,yes,,,,Easy-Medium,
Before The Shadow,"1, 6, 8",Mission: Haunting at Dol Ernil,Gerwyn Convoy (Andrath),,135,,Long,Gauntmen,,,,,"Can pull multiple sets, lots of mobs. Kill gauntmen first.",,,,yes,,,,Medium,
Before The Shadow,"1, 6, 8",Mission: Steps of Caranost,Gerwyn Convoy (Andrath),,135,,Medium-Long,Orcs,,,,,Reach camp at top (camp is immediately right at top of stairs). Several pulls of ~5 mobs. Orcs sometimes drop down. Kill Ork Gates on way. Defilers can heal gates.,,,,yes,,,,Medium,
Before The Shadow,"1, 6, 8",Mission: The Bridge to Caranost,Gerwyn Convoy (Andrath),,115,,Quick-Medium,Orcs,,,,,"Kill mobs and gates and get across bridge. You only need to reach the end of bridge, not kill mobs.",,,,yes,,,,Easy,Easy-Medium
Before The Shadow,"1, 6, 8",Mission: The Nettinglade,Gerwyn Convoy (Andrath),,150,,Quick,"Spiders, Orcs",,,,,"Single mob pulls, can avoid centre mobs, cocoons can spawn dwarves or orcs.",,,,yes,,,,Easy,Easy
Before The Shadow,"1, 6, 8",Mission: Jorthkyn and Hounds,Herne,,135,,Quick,"Jorthkyn, Wargs",,,,,"Kill 8 Jorthkyn AND their hounds (scout won't appear until then). They come with hounds. 2 mobs per pull. After final Jorthkyn, scout spawns on top and you can leave. Can avoid some hounds/summons if you focus Jorthkyn.",,,,yes,,,,Easy,Medium-Hard
Before The Shadow,"1, 6, 8",Mission: Signs and Sigils,Herne,,224,,Quick,Uruks,,,,,"Kill mobs, click banners. More mobs than needed.",,,,yes,,,,Easy,
Before The Shadow,"1, 6, 8",Mission: Siege-breaking,Herne,,160,,Medium,Uruks,,,,,"Destroy catapults and towers. Can avoid some mobs. 1-2 mobs per pull. Pathers. Can be hard to move around, so can pull extra.",,,,yes,,,,Easy-Medium,Easy-Medium
Before The Shadow,"1, 6, 8","Mission: The Hand, Out!",Herne,,90,,Medium,Uruks,,,,,"Pathers come towards you at start (possible to pull a set and then have pathers). Mostly pulls of 2 mobs, one of 3. Kill all mobs.",,,,yes,,,,Easy,Easy-Medium
Before The Shadow,"1, 6, 8",Mission: Patrol the Township,Clégur,,150,,Long,Brigands,,,,,"Must approach cats with rings on to patrol locations, spawns mobs, also pathers, can get swarmed with mobs. Must kill all for scout to spawn.",,,,yes,,,,Medium-Hard,Hard
Before The Shadow,"1, 6, 8",Mission: Into the Pits,Clégur,,90,,Quick,Wargs,,,,,Kill wargs and 3 boss. 3 per pull. More wargs than necessary. Bosses don't count as wargs.,,,,yes,,,,Easy,Easy-Medium
Before The Shadow,"1, 6, 8",Mission: Terrible Turtle Trouble,Clégur,,80,,Quick,Turtles,,,,,"Mostly solo pulls, boss and 2 mobs at end.",,,,yes,,,,Easy-Medium,Medium
Before The Shadow,"1, 6, 8",Mission: Secrets and Plans,Clégur,,120,,Quick,Brigands,,,,,"12 mobs, 3 plans. Must kill all mobs. Easy enough on t10. Can pull 1-2 mobs at time.",,,,yes,,,,Easy,Easy
Before The Shadow,"2, 4, 9",Mission: Caranost Command Post,Gerwyn Convoy (Andrath),,80,,Quick-Medium,Orcs,,,,,Kill orcs and boss. Boss is either in ruins on left or ruins down on right (it's random). More mobs than necessary. Can get bad first pull if not careful.,,,,yes,,,,Medium,Easy-Hard
Before The Shadow,"2, 4, 9",Mission: Crown of Caranost,Gerwyn Convoy (Andrath),,60,,Quick-Long,Orcs,,,,,Find and kill boss (Dargund). He can be in multiple locations (up and down to right). Scout spawns where mob does. Tracking helps.,,,,yes,,,,Easy-Medium,Easy-Hard
Before The Shadow,"2, 4, 9",Mission: Down on the Farm,Gerwyn Convoy (Andrath),,50,,Long,Goblins,,,,,"Looks like you can get single pulls, but there are pathers and stealthed mobs, can end up with very large pulls. At end, boss paths, then runs to house and summons 3 waves of 3 adds before he engages (seemed almost broken). Can be cheated if you can one-shot boss.",,,,yes,,,,Medium-Hard,
Before The Shadow,"2, 4, 9",Mission: The Ruins of Amon Firn,Gerwyn Convoy (Andrath),,70,,Quick or Medium,Half-orcs,,,,,"Need to kill half-orc captain only. He's on far east, down from mountain (can be upstairs or downstairs, possibly other locations). Can avoid many mobs if careful. Lots of mobs around. Difficulty and length depend on how succesful you are at avoiding mobs.",,,,yes,,,,Easy-Medium,Easy-Medium
Before The Shadow,"2, 4, 9",Mission: Leadership Direction,Herne,,140,,Medium-Long,Uruks,,,,,"Kill mobs and boss. Boss can spawn in multiple locations (centre, south ruins). Boss greenbars twice, resets twice, and summons extra waves of adds. Potentially more difficult on other variants, as uruks don't summon on death in Variant B (bug?).",,,,yes,,,,Medium-Hard,Easy-Hard
Before The Shadow,"2, 4, 9",Mission: Shadows in the Greyflood,Herne,,65,,Quick,Darkwaters,,,,,"Harder pulls, 4+ mobs. Pulling 1 sometimes makes 3 more appear. Tight spaces, so hard to move. 2-3 pulls, then talk to questgiver.",,,,yes,,,,Medium,
Before The Shadow,"2, 4, 9",Mission: The Accursed Flame,Herne,,80,,Quick,Darkwaters,,,,,"Kill all mobs, including summoned mobs and boss, then click brazier. Brazier can't be clicked while in combat.",,,,yes,,,,Easy-Medium,Medium-Hard
Before The Shadow,"2, 4, 9",Mission: The Ruins of Gaervarad,Herne,,110,,Quick,Brigands,,,,,Kill 15 mobs. More mobs than necessary. 4 upstairs. 1-4 mobs per pull. Some pathing.,,,,yes,,,,Easy,Easy-Medium
Before The Shadow,"2, 4, 9",Mission: Troubled Waters,Herne,,90,,Medium,Darkwaters,,,,,"~5-6 pulls, 3-4 mobs, pathers. Hard to see puddles on ground. Hard to move around. Boss spawns 3 mobs.",,,,yes,,,,Hard,
Before The Shadow,"2, 4, 9",Mission: Aberrations of Nature,Clégur,,90,,Quick,Wood Trolls,,,,,"Kill 15 wood trolls. No extra mobs. 1-2 per pull, but can pull additional. Scout in centre.",,,,yes,,,,Easy-Medium,
Before The Shadow,"2, 4, 9",Mission: Before They Bond,Clégur,,135,,Long,"Brigands, Wolves",,,,,"Kill 16 wolf-keepers, but they come with a wolf each, so it's 32 mobs. Very easy to get multiple pulls. Pathing mobs.",,,,yes,,,,Medium,
Before The Shadow,"2, 4, 9",Mission: Not as Many Heads,Clégur,,110,,Medium,Brigands,,,,,"Kill 15 brigands, 2 lieutenants and boss.",,,,yes,,,,Medium,
Before The Shadow,"2, 4, 9",Mission: The Jaws of Death,Clégur,,135,,Quick,Wargs,,,,,"Help/burn victims (only click them once or it will bug). You have to fight wargs to get to many, but 2-3 per pull.",,,,yes,,,,Easy,
Before The Shadow,"3, 5, 7",Mission: Brigands in Nímbarth,Gerwyn Convoy (Andrath),,75,,Medium-Long,Brigands,,,,,"Can pull multiple sets easily, pathers, can get a lot of mobs.",,,,yes,,,,Medium,
Before The Shadow,"3, 5, 7",Mission: Siege of Sírlond,Gerwyn Convoy (Andrath),,430,,Quick-Medium,Orcs,,,,,"Must survive for ~7 mins, then find scout. Scout doesn't spawn until a certain number of mobs are killed. Insane number of mobs will aggro.",,,,yes,,,,Hard-Impossible,Hard-Impossible
Before The Shadow,"3, 5, 7",Mission: Stirring of Spirits,Gerwyn Convoy (Andrath),,60,,Quick-Medium,Spirits,,,,,"Reach top of stairs and kill boss. Be careful when you go up initial stairs, mobs aggro on either side, so can pull too much.",,,,yes,,,,Easy-Medium,Easy-Medium
Before The Shadow,"3, 5, 7",Mission: The Tearful Tomb,Gerwyn Convoy (Andrath),,90,,Quick,Goblins,,,,,"Defeat Blogmal gang-leader. He's at bottom (stairs on right). Can avoid most mobs on Variant A, but need 3-4 pulls on Variant B.",,,,yes,,,,Easy,
Before The Shadow,"3, 5, 7",Mission: The Tombs of Gond Orchal,Gerwyn Convoy (Andrath),,150,,Quick,Wights,,,,,"All solo pulls, very spread apart, easy to do as a result.",,,,yes,,,,Easy,Easy
Before The Shadow,"3, 5, 7",Mission: A Plague of Men,Herne,,205,,Long,Brigands,,,,,"Lots of pathers, can get bad pulls if not careful. Can pull some single pathers.",,,,yes,,,,Medium,
Before The Shadow,"3, 5, 7",Mission: Bite the Hand,Herne,,70,,Quick,Uruks,,,,,"2 mobs per pull, mobs don't spawn new mobs on kill. Puddle does small damage.",,,,yes,,,,Easy,Easy-Medium
Before The Shadow,"3, 5, 7",Mission: Sifting Through Time,Herne,,150,,Quick,Uruks,,,,,"Kill mobs, collect things. More mobs than necessary. Usually 1 mob per pull. Uruks (no summons on death on Variant B)",,,,yes,,,,Easy,
Before The Shadow,"3, 5, 7",Mission: Tharbad Tower Ascent,Herne,,105,,Quick,Orcs,,,,,Find and kill commander (he's upstairs in back on right). He's not the captain. Pulling commander pulls nearby group. Can just kill him and leave.,,,,yes,,,,Easy-Medium,
Before The Shadow,"3, 5, 7",Mission: Tharbad Tower Courtyard,Herne,,80,,Quick,Uruks,,,,,"Must kill everything in courtyard, including captain, before scout appears.",,,,yes,,,,Easy,Easy-Medium
Before The Shadow,"3, 5, 7",Mission: A Day on the Farm,Clégur,,150,,Long,"Shrews, Crebain",,,,,"First part is easy, single mob pulls. When you click final burrow, crebain spawn, so you get 3 crebain + 1 shrew. Must kill 3 more sets of 3 crebain.",,,,yes,,,,Medium,
Before The Shadow,"3, 5, 7",Mission: Among the Watch-towers,Clegur,,240,,Medium,Brigands,,,,,"Burn towers, must kill mobs around them.",,,,yes,,,,Easy-Medium,
Before The Shadow,"3, 5, 7",Mission: Dangerous Deliveries,Clégur,,170,,Medium-Long,Brigands,,,,,"Deliver 2 pies (quest/pie is a lie), kill 4-5 pulls of brigands, 15 total, 3-4 per pull. Can be hard to move around on platforms.",,,,yes,,,,Medium,
Before The Shadow,"3, 5, 7",Mission: Mother of Wolves,Clégur,,110,,Quick,Wolves,,,,,Kill 15 wolves and 1 boss. Can get a bad pull of two waves. Waves are 2-3 mobs. Must kill all mobs.,,,,yes,,,,Easy-Medium,
Erebor,,,,,,,,,,,,,,,,,,,,,,
Erebor,Always available,Mission: Trinkets of the Lost Garrison,Erebor,,80,,,,14,0,,,,,,Twist: Raging,,- No Delving -,,,,
Erebor,Always available,Mission: Trouble at the High Crag,Erebor,,110,,,,12,1,,,,,,Twist: Crushing,,- No Delving -,,,,
Erebor,Always available,Mission: Respite in Zarkul-sulûn,Erebor,,120,,,,8,8,,,,,,Twist: Sacrificial,,- No Delving -,,,,
Erebor,Always available,Mission: Keepers of the Narrow Way,Erebor,,120,,,,12,1,,,,,,Twist: Burning Shield,,- No Delving -,,,,
Erebor,Always available,Mission: Standards of Khazad-dûm,Erebor,,120,,,,12,12,,,,,,Twist: Raging,,- No Delving -,,,,
Erebor,Always available,Mission: Enemies at the East-gate,Erebor,,140,,,,15,0,,,,,,Twist: Gated,,- No Delving -,,,,
Erebor,Always available,Mission: Wrath of the Frost-heart,Erebor,,140,,,,15,6,,,,,,Twist: Hrímil's Chosen,,- No Delving -,,,,
Erebor,Always available,Mission: Defilers in the Dale,Erebor,,210,,,,15,6,,,,,,Twist: Shared Corruption,,- No Delving -,,,,
Erebor,Always available,Mission: Claws of Gabilshathûr,Erebor,,230,,,,15,8,,,,,,Twist: Surprise Attack,,- No Delving -,,,,
Erebor,Always available,Mission: Securing the Redhorn,Erebor,,255,,,,25,4,,,,,,Twist: Reinforcements,,- No Delving -,,,,
Gundabad,,,,,,,,,,,,,,,,,,,,,,
Gundabad,5,Mission: Stomping Stûg-and-Zar,Hall of Vernozal,,90,160,Short,,10,0,,,,,,Twist: Lieutenant of Gorgar,,,,,,
Gundabad,6,Mission: Culling the Rot,Hall of Vernozal,,100,200,Short,,15,0,,,,,,Twist: Shared Corruption,,,,,,
Gundabad,1,Mission: Unwelcome Guests,Hall of Vernozal,,120,195,Short,,10,5,,,,,,Twist: Lieutenant of Gorgar,,,,,,
Gundabad,4,Mission: Servants of Throkhâr,Hall of Vernozal,,135,255,Short-Medium,,15,10,,,,,,Twist: Sacrificial,,,,,,
Gundabad,2,Mission: Reforge the Future,Hall of Vernozal,,150,270,Short-Medium,,12,8,,,,,,Twist: Hrímil's Chosen,,,,,,
Gundabad,3,Mission: The Sorceress of Tûr Ágal,Hall of Vernozal,,155,225,Short,,10,1,,,,,,Twist: Illusionist,,,,,,
Gundabad,5,Mission: Hall of Ice,Hall of Vernozal,,180,330,Medium,,15,10,,,,,,Twist: Persistent Cold,,,,,,
Gundabad,2,Mission: Breeders of Beasts,Hall of Vernozal,,180,285,Short-Medium,,20,10,,,,,,Twist: Poison,,,,,,
Gundabad,3,Mission: Storm Swept,Hall of Vernozal,,185,315,Medium,,12,10,,,,,,Twist: Crushing,,,,,,
Gundabad,1,Mission: Just Beyond Reach,Hall of Vernozal,,195,285,Short-Medium,,15,4,,,,,,Twist: Gated,,,,,,
Gundabad,2,Mission: Ritual of Sacrifice,Hall of Vernozal,,205,420,Medium-Long,,40,0,,,,,,Twist: Sacrificial,,,,,,
Gundabad,4,Mission: Siege of the Rift,Hall of Vernozal,,225,410,Medium-Long,,30,0,,,,,,Twist: Burning Shield,,,,,,
Gundabad,3,Mission: Drive a Wedge,Hall of Vernozal,,240,340,Medium,,15,10,,,,,,Twist: Hrímil's Chosen,,,,,,
