Questpack,Rotation,Name,Location,Questgiver,Time in seconds A,Time in seconds B,Time Assessment,Mob Type/s,Mobs to Kill,Objectives To Click,,Details,Advice,Bugs,Other,Twist,Delving Enabled,Difficulty (Duo T6),Difficulty (Solo T6),,Difficulty (Duo T12),Difficulty (Solo T12)
Gundabad,5,Mission: In the Trenches,Hall of Vernozal,,240,300,Medium,,15,10,,,,,,Twist: Never-ending,,,,,,
Gundabad,1,Mission: King of Claws,Hall of Vernozal,,240,375,Medium,,20,12,,,,,,Twist: Poison,,,,,,
Gundabad,2,Mission: Buried but Not Forgotten,Hall of Vernozal,,240,405,Medium-Long,,20,11,,,,,,Twist: Traps,,,,,,
Gundabad,5,Mission: The Lost Vault,Hall of Vernozal,,240,300,Medium ,,20,10,,,Puzzle,,,Twist: Puzzle,,,,,,
Gundabad,4,Mission: Lay to Rest,Hall of Vernozal,,240,340,Medium,,50,10,,,,,,Twist: Never-ending,,,,,,
Gundabad,5,Mission: Sting like a Grodbog,Hall of Vernozal,,250,440,Long,,25,10,,,,,,Twist: Poison,,,,,,
Gundabad,6,Mission: Clearing a Path,Hall of Vernozal,,260,445,Long,,15,8,,,,,,Twist: Raging,,,,,,
Gundabad,1,Mission: The High Dig,Hall of Vernozal,,270,435,Long,,15,20,,,,,,Twist: Traps,,,,,,
Gundabad,2,Mission: Cave In!,Hall of Vernozal,,270,285,Short-Medium,,25,18,,,,,,Twist: Timed!,,,,,,
Gundabad,6,Mission: Assault on Dûn Traikh,Hall of Vernozal,,270,445,Long,,30,15,,,,,,Twist: Inspiring Presence,,,,,,
Gundabad,6,Mission: A Large Problem,Hall of Vernozal,,285,405,Medium-Long,,20,20,,,,,,Twist: Reinforcements,,,,,,
Gundabad,3,Mission: Gold Rush,Hall of Vernozal,,300,345,Medium,,5,18,,,,,,Twist: Timed!,,,,,,
Gundabad,1,Mission: The Flooded Depths,Hall of Vernozal,,300,600,Very Long,,20,12,,,,,,Twist: Shared Corruption,,,,,,
Gundabad,3,Mission: Crystal Conundrum,Hall of Vernozal,,300,450,Long,,20,12,,,,,,Twist: Never-ending,,,,,,
Gundabad,3,Mission: Wonder of the Deep,Hall of Vernozal,,300,550,Very Long,,40,12,,,,,,Twist: Never-ending,,,,,,
Gundabad,6,Mission: Drakes Up Above,Hall of Vernozal,,330,425,Medium-Long,,30,30,,,,,,Twist: Surprise Attack,,,,,,
Gundabad,1,Mission: A Lost Expedition,Hall of Vernozal,,375,540,Very Long,,25,10,,,Lost,,,Twist: Persistent Cold,,,,,,
Gundabad,6,Mission: Darkness in the Mist,Hall of Vernozal,,420,480,Long,,20,0,,,Defend,,,Twist: Persistent Cold,,,,,,
Gundabad,2,Mission: Frosty Reception,Hall of Vernozal,,570,560,Very Long,,40,16,,,,,,Twist: Hrímil's Chosen,,,,,,
Gundabad,4,Mission: Captive Wings,Hall of Vernozal,,570,480,Long,,50,10,,,,,,Twist: Traps,,,,,,
Gundabad,5,Mission: Stepping into the Drearspire,Hall of Vernozal,,600,490,Long,,30,10,,,,,,Twist: Reinforcements,,,,,,
Gundabad,4,Mission: Raging Frost,Hall of Vernozal,,615,450,Long,,12,8,,,Junk,,,Twist: Raging,,,,,,
Gundabad,4,Mission: The Foregone Trap,Hall of Vernozal,,1000,1020,Short-Long,,X,X,,,X,,,Twist: Puzzle,,,,,,
Gundabad,3,Mission: The Flow of Water,Hall of Vernozal,,,465,Long,,X,X,,,,,,Twist: Gated,,,,,,
Further Adventures Bilbo,,,,,,,,,,,,,,,,,,,,,,
Further Adventures,Always available,"01. The Further Adventures of Bilbo Baggins, Chapter 1",Rivendell,,,140,,,0,0,0,,,,,Twist: Inspiring Presence,no,- No Delving -,,,,
Further Adventures,Always available,"02. The Further Adventures of Bilbo Baggins, Chapter 2",Rivendell,,,250,,,30,0,30,,,,,Twist: Shared Corruption,no,- No Delving -,,,,
Further Adventures,Always available,"03. The Further Adventures of Bilbo Baggins, Chapter 3",Rivendell,,,210,,,15,0,15,,,,,Twist: Reinforcements,no,- No Delving -,,,,
Further Adventures,Always available,"04. The Further Adventures of Bilbo Baggins, Chapter 4",Rivendell,,,190,,,30,0,30,,,,,Twist: Raging,no,- No Delving -,,,,
Further Adventures,Always available,"05. The Further Adventures of Bilbo Baggins, Chapter 5",Rivendell,,,140,,,15,0,15,,,,,None,no,- No Delving -,,,,
Further Adventures,Always available,"06. The Further Adventures of Bilbo Baggins, Chapter 6",Rivendell,,,150,,,15,0,15,,,,,Twist: Never-ending,no,- No Delving -,,,,
Further Adventures,Always available,"07. The Further Adventures of Bilbo Baggins, Chapter 7",Rivendell,,,100,,,0,1,1,,,,,Twist: Gated,no,- No Delving -,,,,
Further Adventures,Always available,"08. The Further Adventures of Bilbo Baggins, Chapter 8",Rivendell,,,75,,,4,3,7,,,,,Twist: Crushing,no,- No Delving -,,,,
Further Adventures,Always available,"09. The Further Adventures of Bilbo Baggins, Chapter 9",Rivendell,,,190,,,10,1,11,,,,,Twist: Reinforcements,no,- No Delving -,,,,
Further Adventures,Always available,"10. The Further Adventures of Bilbo Baggins, Chapter 10",Rivendell,,,460,,,8,0,8,,,,,Twist: Surprise Attack,no,- No Delving -,,,,
Further Adventures E&E,,,,,,,,,,,,,,,,,,,,,,
Further Adventures E&E,Always available,"01. The Further Adventures of Elladan and Elrohir, Chapter 1","Rivendell, Last Homely House",,,180,,,,,,,,,,Twist: Sacrificial,no,- No Delving -,,,,
Further Adventures E&E,Always available,"02. The Further Adventures of Elladan and Elrohir, Chapter 2",,,,205,,,,,,,,,,Twist: Crushing,no,- No Delving -,,,,
Further Adventures E&E,Always available,"03. The Further Adventures of Elladan and Elrohir, Chapter 3",,,,435,,,,,,,,,,Twist: Persistent Cold,no,- No Delving -,,,,
Further Adventures E&E,Always available,"04. The Further Adventures of Elladan and Elrohir, Chapter 4",,,,255,,,,,,,,,,Twist: Reinforcements,no,- No Delving -,,,,
Further Adventures E&E,Always available,"05. The Further Adventures of Elladan and Elrohir, Chapter 5",,,,315,,,,,,,,,,Twist: Shared Corruption,no,- No Delving -,,,,
Elderslade,,,,,,,,,,,,,,,,,,,,,,
Elderslade,7,Mission: A Chill on the Gladdenmere,,,50,45,,,10,0,,,,,,Twist: Crushing,yes,,,,,
Elderslade,4,Mission: A Frosty Reception,,,125,150,,,10,4,,,,,,Twist: Crushing,yes,,,,,
Elderslade,7,Mission: A Glutton in the Larder,,,45,45,,,10,0,,,,,,Twist: Inspiring Presence,yes,,,,,
Elderslade,3,Mission: A New Clutch,,,110,115,,,10,10,,,,,,Twist: Reinforcements,yes,,,,,
Elderslade,3,Mission: A Taste for Battle,,,170,175,,,25,10,,,,,,Twist: Surprise Attack,yes,,,,,
Elderslade,6,Mission: Abandoned Supplies,,,180,185,,,15,12,,,,,,Twist: Raging,yes,,,,,
Elderslade,4,Mission: Aiding the Bridge Builders,,,320,325,,,20,0,,,Defend timer,,,Twist: Raging,yes,,,,,
Elderslade,7,Mission: An Agelong Theft,,,80,70,,,14,0,,,,,,Twist: Raging,yes,,,,,
Elderslade,7,Mission: An Assault of Frost,,,85,95,,,10,0,,,,,,Twist: Hrímil's Chosen,yes,,,,,
Elderslade,1,Mission: Archers at the Gate,,,80,95,,,14,0,,,,,,Twist: Reinforcements,yes,,,,,
Elderslade,2,Mission: Area of Interest,,,220,195,,,10,10,,,,,,Twist: Shared Corruption,yes,,,,,
Elderslade,5,Mission: Assault on Ashmâr-zarakh,,,70,70,,,15,4,,,,,,Twist: Reinforcements,yes,,,,,
Elderslade,7,Mission: Beasts From the Hills,,,110,90,,,11,0,,,,,,Twist: Crushing,yes,,,,,
Elderslade,1,Mission: Blockade at Glimmerdeep,,,90,90,,,8,0,,,,,,Twist: Lieutenant of Gorgar,yes,,,,,
Elderslade,1,Mission: Blockade on the High Pass,,,175,170,,,30,10,,,,,,Twist: Sacrificial,yes,,,,,
Elderslade,6,Mission: Breaking Bekâr-zarakh,,,80,65,,,15,0,,,,,,Twist: Lieutenant of Gorgar,yes,,,,,
Elderslade,2,Mission: Burrowers by the Hadhodiant,,,150,120,,,14,4,,,,,,Twist: Never-ending,no,- No Delving -,,,,
Elderslade,3,Mission: Collapsing the Old Paths,,,210,200,,,25,0,,,,,,Twist: Never-ending,no,- No Delving -,,,,
Elderslade,7,Mission: Den of the Frost-bound,,,50,70,,,10,0,,,,,,Twist: Reinforcements,yes,,,,,
Elderslade,1,Mission: Dourhands in the Deep,,,170,175,,,22,0,,,,,,Twist: Shared Corruption,yes,,,,,
Elderslade,6,Mission: Emissary at the Goblin-gate,,,100,90,,,10,0,,,,,,Twist: Lieutenant of Gorgar,yes,,,,,
Elderslade,2,Mission: Engines of Flesh and Stone,,,80,85,,,10,0,,,,,,Twist: Crushing,yes,,,,,
Elderslade,2,Mission: Eyes on Elderslade,,,125,135,,,10,5,,,,,,Twist: Reinforcements,yes,,,,,
Elderslade,4,Mission: Goblins at Stramvárth,,,120,130,,,0,12,,,,,,Twist: Gated,no,- No Delving -,,,,
Elderslade,4,Mission: Halls of the Dead,,,65,60,,,20,0,,,,,,Twist: Shared Corruption,yes,,,,,
Elderslade,6,Mission: Halting the Dourhands,,,315,310,,,30,20,,,,,,Twist: Raging,yes,,,,,
Elderslade,6,Mission: Hunting the Hunters,,,150,175,,,15,12,,,,,,Twist: Raging,yes,,,,,
Elderslade,7,Mission: Idols of Corruption,,,120,140,,,15,0,,,,,,Twist: Crushing,yes,,,,,
Elderslade,6,Mission: Into the Crystal Tunnels,,,115,115,,,8,8,,,,,,Twist: Sacrificial,yes,,,,,
Elderslade,5,Mission: Invasion at the Redhorn Pass,,,60,65,,,8,2,,,,,,Twist: Never-ending,no,- No Delving -,,,,
Elderslade,4,Mission: Jaws of the Dead,,,120,110,,,8,10,,,,,,Twist: Shared Corruption,yes,,,,,
Elderslade,1,Mission: Magic of the Frost-bound,,,40,50,,,5,0,,,,,,Twist: Hrímil's Chosen,yes,,,,,
Elderslade,1,Mission: Nests of Ice,,,150,145,,,8,8,,,,,,Twist: Hrímil's Chosen,yes,,,,,
Elderslade,7,Mission: Ore Overflowing,,,190,190,,,25,10,,,,,,Twist: Reinforcements,yes,,,,,
Elderslade,3,Mission: Raiders From Gundabad,,,180,180,,,15,0,,,defend timer,,,Twist: Burning Shield,yes,,,,,
Elderslade,7,Mission: Reclaiming the Torrent-spires,,,180,140,,,15,4,,,,,,Twist: Crushing,yes,,,,,
Elderslade,2,Mission: Reclaiming the Vale-watch,,,140,95,,,10,4,,,,,,Twist: Reinforcements,yes,,,,,
Elderslade,2,Mission: Relics of the Goldencleft,,,170,140,,,10,12,,,,,,Twist: Raging,yes,,,,,
Elderslade,5,Mission: Scatha's Legacy,,,60,85,,,10,6,,,,,,Twist: Reinforcements,yes,,,,,
Elderslade,2,Mission: Secrets of the Frostdelf,,,80,175,,,10,12,,,,,,Twist: Surprise Attack,yes,,,,,
Elderslade,1,Mission: Son of the Chieftain,,,90,70,,,10,0,,,,,,Twist: Inspiring Presence,yes,,,,,
Elderslade,4,Mission: The Beast of Misthallow,,,70,90,,,3,0,,,,,,Twist: Surprise Attack,yes,,,,,
Elderslade,2,Mission: The Bloody Ritual,,,50,65,,,8,0,,,,,,Twist: Sacrificial,yes,,,,,
Elderslade,1,Mission: The Bloody Ruins,,,80,70,,,8,0,,,,,,Twist: Reinforcements,yes,,,,,
Elderslade,5,Mission: The Branches of Corruption,,,110,125,,,10,0,,,,,,Twist: Gated,yes,,,,,
Elderslade,2,Mission: The Chieftain's Pack,,,90,80,,,15,0,,,,,,Twist: Shared Corruption,yes,,,,,
Elderslade,6,Mission: The Den of Worms,,,40,35,,,10,0,,,,,,Twist: Raging,yes,,,,,
Elderslade,3,Mission: The Fluttering Fires,,,240,205,,,25,15,,,Clunky ,,,Twist: Reinforcements,yes,,,,,
Elderslade,4,Mission: The Gate Captain,,,130,130,,,10,2,,,,,,Twist: Gated,yes,,,,,
Elderslade,3,Mission: The Goblin-town Gauntlet,,,200,160,,,20,10,,,,,,Twist: Never-ending,no,- No Delving -,,,,
Elderslade,1,Mission: The Goblins for Gorgar,,,80,70,,,15,0,,,,,,Twist: Lieutenant of Gorgar,yes,,,,,
Elderslade,4,Mission: The Great Goblin's Treasure,,,140,145,,,10,0,,,,,,Twist: Surprise Attack,yes,,,,,
Elderslade,1,Mission: The Hand of Gorgar,,,90,90,,,10,0,,,,,,Twist: Lieutenant of Gorgar,yes,,,,,
Elderslade,6,Mission: The Heart of Kidzul-kâlah,,,95,75,,,12,0,,,,,,Twist: Shared Corruption,yes,,,,,
Elderslade,2,Mission: The Hunting Grounds,,,120,150,,,12,0,,,,,,Twist: Raging,yes,,,,,
Elderslade,3,Mission: The Last Embers of Nûrz Ghâshu,,,70,85,,,10,0,,,,,,Twist: Burning Shield,yes,,,,,
Elderslade,3,Mission: The Matron of the Hatchery,,,40,60,,,10,0,,,,,,Twist: Burning Shield,yes,,,,,
Elderslade,5,Mission: The Matron of the High Pass,,,60,55,,,5,0,,,,,,Twist: Hrímil's Chosen,yes,,,,,
Elderslade,7,Mission: The Matron of the Keep,,,140,90,,,15,0,,,,,,Twist: Sacrificial,yes,,,,,
Elderslade,4,Mission: The Missing Treasure,,,60,65,,,10,0,,,,,,Twist: Gated,yes,,,,,
Elderslade,5,Mission: The Riches of Sundergrót,,,200,205,,,25,3,,,,,,Twist: Gated,yes,,,,,
Elderslade,3,Mission: The Roots of Decay,,,270,305,,,25,18,,,,,,Twist: Shared Corruption,yes,,,,,
Elderslade,5,Mission: The Sacrificial Tower,,,95,80,,,10,0,,,,,,Twist: Gated,no,- No Delving -,,,,
Elderslade,2,Mission: The Shadow of Valdhellir,,,20,25,,,4,0,,,,,,Twist: Reinforcements,yes,,,,,
Elderslade,4,Mission: The Snows of Kêr Bréin,,,35,35,,,3,0,,,,,,Twist: Hrímil's Chosen,yes,,,,,
Elderslade,6,Mission: The Taurogrim Alliance,,,100,115,,,15,0,,,,,,Twist: Reinforcements,yes,,,,,
Elderslade,1,Mission: The Three Wardens,,,90,80,,,10,0,,,,,,Twist: Inspiring Presence,no,- No Delving -,,,,
Elderslade,1,Mission: The Throne of Tharrazhâr,,,80,85,,,10,1,,,,,,Twist: Inspiring Presence,yes,,,,,
Elderslade,3,Mission: The Vale-watch Rescue,,,120,90,,,10,4,,,,,,Twist: Burning Shield,yes,,,,,
Elderslade,6,Mission: The Watchers of Iron,,,220,230,,,20,12,,,,,,Twist: Shared Corruption,no,- No Delving -,,,,
Elderslade,5,Mission: The Worm Hatchery,,,140,140,,,15,10,,,,,,Twist: Sacrificial,yes,,,,,
Elderslade,5,Mission: Training For Glory,,,75,90,,,6,0,,,,,,Twist: Inspiring Presence,no,- No Delving -,,,,
Elderslade,6,Mission: Trouble in the Armoury,,,280,305,,,30,20,,,,,,Twist: Inspiring Presence,yes,,,,,
Elderslade,2,Mission: Two Heads are Deadlier,,,120,85,,,10,0,,,,,,Twist: Lieutenant of Gorgar,yes,,,,,
Elderslade,7,Mission: Uncovered Treasures,,,120,115,,,8,8,,,,,,Twist: Sacrificial,yes,,,,,
Elderslade,3,Mission: Under Command of Trolls,,,180,205,,,40,0,,,Large distance,,,Twist: Crushing,yes,,,,,
Elderslade,5,Mission: Wall of Ice,,,120,110,,,15,0,,,,,,Twist: Gated,yes,,,,,
Elderslade,3,Mission: Watch-towers at the Goblin-gate,,,230,210,,,15,10,,,,,,Twist: Reinforcements,yes,,,,,
Elderslade,4,Mission: Well-fed in Wyrmsgráf,,,50,40,,,12,0,,,,,,Twist: Burning Shield,yes,,,,,
Elderslade,5,Mission: Wings Over Grálinvarth,,,150,140,,,15,4,,,,,,Twist: Surprise Attack,yes,,,,,
Kingdoms of Harad,,,,,,,,,,,,,,,,,,,,,,
Kingdoms of Harad,Always available,Mission: Blight in the Bite,Sul Madásh,Várudar,,,,,,,,,,,,,yes,,,,,
Kingdoms of Harad,Always available,Mission: Cleansing the Rotten Wood,Sul Madásh,Várudar,,,,,,,,,,,,,yes,,,,,
Kingdoms of Harad,Always available,Mission: Defence of the Elderwell,Sul Madásh,Várudar,,,,,,,,,,,,,yes,,,,,
Kingdoms of Harad,Always available,"Mission: Oh, Rats",Sul Madásh,Várudar,,,,,,,,,,,,,yes,,,,,
Kingdoms of Harad,Always available,Mission: Prowling Scavengers,Sul Madásh,Várudar,,,,,,,,,,,,,yes,,,,,
Kingdoms of Harad,Always available,Mission: A Cleansing Fire,Kighân Zajâna,Jôrlar,,,,,,,,,,,,,yes,,,,,
Kingdoms of Harad,Always available,Mission: Another Man's Treasure,Kighân Zajâna,Jôrlar,,,,,,,,,,,,,yes,,,,,
Kingdoms of Harad,Always available,Mission: Chopping the Woods,Kighân Zajâna,Jôrlar,,,,,,,,,,,,,yes,,,,,
Kingdoms of Harad,Always available,Mission: Everything Goes Boom,Kighân Zajâna,Jôrlar,,,,,,,,,,,,,yes,,,,,
Kingdoms of Harad,Always available,Mission: The Sweetest Reward,Kighân Zajâna,Jôrlar,,,,,,,,,,,,,yes,,,,,
Kingdoms of Harad,Always available,Mission: Bound for Torment,Jiret-menêsh,Têsegi,,,,,,,,,,,,,yes,,,,,
Kingdoms of Harad,Always available,Mission: Robbers on the Road,Jiret-menêsh,Têsegi,,,,,,,,,,,,,yes,,,,,
Kingdoms of Harad,Always available,Mission: Song of Rest,Jiret-menêsh,Têsegi,,,,,,,,,,,,,yes,,,,,
Kingdoms of Harad,Always available,Mission: The Flames of Resistance,Jiret-menêsh,Têsegi,,,,,,,,,,,,,yes,,,,,
Kingdoms of Harad,Always available,Mission: Vestiges of Lâkindar,Jiret-menêsh,Têsegi,,,,,,,,,,,,,yes,,,,,
Kingdoms of Harad,Always available,Mission: Arms Saboteur,Ahâba,Shâpar,,,,,,,,,,,,,yes,,,,,
Kingdoms of Harad,Always available,Mission: Disrupting Control,Ahâba,Shâpar,,,,,,,,,,,,,yes,,,,,
Kingdoms of Harad,Always available,Mission: Fell Summoning,Ahâba,Shâpar,,,,,,,,,,,,,yes,,,,,
Kingdoms of Harad,Always available,Mission: Routing Reinforcements,Ahâba,Shâpar,,,,,,,,,,,,,yes,,,,,
Kingdoms of Harad,Always available,Mission: Treasure for the Taking,Ahâba,Shâpar,,,,,,,,,,,,,yes,,,,,
Crown of Hamât,,,,,,,,,,,,,,,,,,,,,,
Crown of Hamât,2,Mission: A Hearty Meal,Iridír,Setokúli,,,,,,,,,,,,,yes,,,,,
Crown of Hamât,1,Mission: A Personal Plea,Iridír,Setokúli,,,,,,,,,,,,,yes,,,,,
Crown of Hamât,1,Mission: A Surfeit of Weapons,Iridír,Setokúli,,,,,,,,,,,,,yes,,,,,
Crown of Hamât,2,Mission: Becoming a Thorn,Iridír,Setokúli,,,,,,,,,,,,,yes,,,,,
Crown of Hamât,1,Mission: Clearing the Southern Road,Iridír,Setokúli,,,,,,,,,,,,,yes,,,,,
Crown of Hamât,2,Mission: Looting the Supplies,Iridír,Setokúli,,,,,,,,,,,,,yes,,,,,
Crown of Hamât,2,Mission: Natural Prey,Iridír,Setokúli,,,,,,,,,,,,,yes,,,,,
Crown of Hamât,2,Mission: Succulent Soldiers,Iridír,Setokúli,,,,,,,,,,,,,yes,,,,,
Crown of Hamât,1,Mission: The Blood Spectre,Iridír,Setokúli,,,,,,,,,,,,,yes,,,,,
Crown of Hamât,1,Mission: The Waggons of War,Iridír,Setokúli,,,,,,,,,,,,,yes,,,,,
Legacy of Morgoth,2,Mission: Assault on Khetsok,,,,,,,,,,,,,,,,,,,,
Legacy of Morgoth,1,Mission: Counterattack at Wrackwade,,,,,,,,,,,,,,,yes,,,,,
Legacy of Morgoth,1,Mission: Eviction Notice,,,,,,,,,,,,,,,yes,,,,,
Legacy of Morgoth,2,Mission: Havoc in Eshadûr,,,,,,,,,,,,,,,yes,,,,,
Legacy of Morgoth,1,Mission: In Need of Rescue,,,,,,,,,,,,,,,yes,,,,,
Legacy of Morgoth,1,Mission: Outlaws in Irídir,,,,,,,,,,,,,,,yes,,,,,
Legacy of Morgoth,2,Mission: Rescue at Gha Nêkha,,,,,,,,,,,,,,,yes,,,,,
Legacy of Morgoth,2,Mission: Thieves of Antiquity,,,,,,,,,,,,,,,yes,,,,,
Legacy of Morgoth,2,Mission: An Explosive Assault,,,,,,,,,,,,,,,yes,,,,,
Legacy of Morgoth,1,Mission: Chickens Home to Roost,,,,,,,,,,,,,,,yes,,,,,
Legacy of Morgoth,2,Mission: Dulling the Weapons of War,,,,,,,,,,,,,,,yes,,,,,
Legacy of Morgoth,2,Mission: Fashionable Thievery,,,,,,,,,,,,,,,yes,,,,,
Legacy of Morgoth,1,Mission: Kill It with Fire,,,,,,,,,,,,,,,yes,,,,,
Legacy of Morgoth,2,Mission: Recovering the Past,,,,,,,,,,,,,,,yes,,,,,
Legacy of Morgoth,1,Mission: Securing Kûr Anzar,,,,,,,,,,,,,,,yes,,,,,
Legacy of Morgoth,1,Mission: The Dead Keep Their Secrets,,,,,,,,,,,,,,,yes,,,,,
Legacy of Morgoth,2,Mission: The Good Bacon,,,,,,,,,,,,,,,yes,,,,,
Legacy of Morgoth,1,Mission: Vanished in Zahûmakh,,,,,,,,,,,,,,,yes,,,,,
Legacy of Morgoth,2,Mission: A Moment of Hope,,,,,,,,,,,,,,,yes,,,,,
Legacy of Morgoth,2,Mission: All Out Battle,,,,,,,,,,,,,,,yes,,,,,
Legacy of Morgoth,1,Mission: Defend the River,,,,,,,,,,,,,,,yes,,,,,
Legacy of Morgoth,1,Mission: Orders from the Highest,,,,,,,,,,,,,,,yes,,,,,
Legacy of Morgoth,2,Mission: Stop the Production,,,,,,,,,,,,,,,yes,,,,,
Legacy of Morgoth,1,Mission: Deny Their Venom,,,,,,,,,,,,,,,yes,,,,,
Legacy of Morgoth,2,Mission: Kergrim on the Road,,,,,,,,,,,,,,,yes,,,,,
Legacy of Morgoth,1,Mission: Perversion of Nature,,,,,,,,,,,,,,,yes,,,,,
Legacy of Morgoth,2,Mission: Scavengers of our Fallen,,,,,,,,,,,,,,,yes,,,,,
Legacy of Morgoth,1,Mission: The Matron's Fang,,,,,,,,,,,,,,,yes,,,,,
,,,,,,,,,,,,,,,,,yes,,,,,