mission name,mission region/location,mission objectives,tactical advice,mission duration,difficulty rating,delving enabled yes/no,objectives to click,source reference,Source
The Beast of Belfalas,The Bloody Eagle Tavern (Malthak),Kill boss,Ignore mobs and go straight to boss. Find nearby scout and leave immediately once boss is dead.,Very Short (1.5 mins),Easy (Solo T6),Yes,Not in source,"1, 2",LOTRO Mission Durations & Delvings - Corsairs of Umbar
A Dark Treasure,The Bloody Eagle Tavern (Deshra),"Kill 12 corsairs, collect treasure, kill boss",Group mobs and AOE down. Ignore mobs on lowest beach. Head south. Boss counts as one of the 12.,Very Short (2 mins),Easy (Solo T6),Yes,treasure,"1, 2",LOTRO Mission Durations & Delvings - Corsairs of Umbar
Securing Salvage,The Bloody Eagle Tavern (Malthak),"Kill corsairs, collect boxes.","Run to the end, AOE mobs, collect boxes on way back to starting point, kill boss.",Very Short (2 mins),Not in source,Yes,boxes,"1, 2",LOTRO Mission Durations & Delvings - Corsairs of Umbar
Ship of Wraiths,The Bloody Eagle Tavern (Deshra),"Kill 16 undead corsairs, free 4 captives, kill boss",Group mobs and AOE down. Boss is near ship where you free woman. Head south-west.,Very Short (2.5 mins),Easy-Medium (Solo T6),Yes,4 captives,"1, 2",LOTRO Mission Durations & Delvings - Corsairs of Umbar
A Cut Above,The Bloody Eagle Tavern (Malthak),"Kill 8 deck-hands, 10 look-outs, 3 brutes, then boss",Group mobs and AOE down.,Very Short (2.5 mins),Easy-Medium (Solo T6),Yes,Not in source,1,LOTRO Mission Durations & Delvings - Corsairs of Umbar
A Taste for Crab,The Bloody Eagle Tavern (Malthak),"Kill crabs, click nets, kill boss",Group mobs and AOE down.,Short (4 mins),Easy (Solo T6),Yes,nets,1,LOTRO Mission Durations & Delvings - Corsairs of Umbar
A Life's Work,The Bloody Eagle Tavern (Malthak),"Collect 10 research papers, destroy 8 gredbyg nests, kill boss",Ignore initial rockworms. Group gredbyg and click things. You can outrun many gredbyg to get clickables faster.,Short (4.5 mins),Easy (Solo T6),Yes,"10 research papers, 8 nests",1,LOTRO Mission Durations & Delvings - Corsairs of Umbar
A Natural Disaster,The Bloody Eagle Tavern (Deshra),"Kill 8 huorns and 6 wildwoods, then boss",Group mobs and AOE down. It can be easy to miss a mob at start and have to backtrack.,Short-Medium (5.5 mins),Easy-Medium (Solo T6),Yes,Not in source,"1, 2",LOTRO Mission Durations & Delvings - Corsairs of Umbar
Caranost Courtyard,Gerwyn Convoy (Andrath),Kill all orcs in courtyard.,"3 pulls of 3 mobs, plus pathers. Difficulty depends on pull.",Quick,Easy-Medium (Duo T12),Yes,Not in source,"1, 2",LOTRO Mission Durations & Delvings - Before the Shadow
Jorthkyn and Hounds,Herne,Kill 8 Jorthkyn and their hounds.,Scout spawns on top after final Jorthkyn. Can avoid some hounds if you focus Jorthkyn.,Quick,Medium-Hard (Solo T12),Yes,Not in source,"1, 2",LOTRO Mission Durations & Delvings - Before the Shadow
Patrol the Township,Clégur,"Approach cats with rings to patrol locations, kill all mobs.",Must kill all for scout to spawn. Can get swarmed with mobs.,Long,Hard (Solo T12),Yes,cats,"1, 2",LOTRO Mission Durations & Delvings - Before the Shadow
A Rare Vintage,Prancing Pony (Anniversary),"Collect 12 wine-flasks, pick 6 grape clusters, defeat Pampraush",Can walk past sleeping goblins. Use 'select nearest item' for high grape-vines. Run back/up path if boss doesn't spawn.,Not in source,Not in source,Yes,"12 wine-flasks, 6 grape clusters",3,"LOTRO Anniversary Missions What, Where, How, Why?"
Rescue by Moonlight,Prancing Pony (Anniversary),"Defeat 12 Dourhands, collect 6 treasure-boxes, locate Irestone, keep Avorthal alive.",Looting treasure-boxes may spawn adds. 'Locate Irestone' is a false-flag; speak to Avorthal on the ship.,Not in source,Not in source,Yes,6 treasure-boxes,3,"LOTRO Anniversary Missions What, Where, How, Why?"
Lalia's Safe Passage,Prancing Pony (Anniversary),Escort Lalia to safety; Lalia must stay alive.,Be swift in grabbing aggro; she takes damage quickly. She pauses during combat.,Not in source,Not in source,Yes,Not in source,3,"LOTRO Anniversary Missions What, Where, How, Why?"